Year League,Rk,Tm,W,L,W-L%,GB,GBsum,R,RA,Rdiff,SOS,SRS,pythWL,Luck,Home,Road,1Run,vRHP,vLHP,≥.500,<.500,ExInn,Ties
1905 NL,7,Boston Nationals,51,103,0.331,54.5,210.0,3.0,4.7,-1.7,0.2,-1.5,47-107,4.0,29-46,22-57,21-29,47-90,4-13,32-78,19-25,,
1905 NL,8,Brooklyn Superbas,48,104,0.316,56.5,224.0,3.3,5.2,-1.9,0.2,-1.7,45-107,3.0,29-47,19-57,20-26,40-90,8-14,27-81,21-23,,
1895 NL,1,Baltimore Orioles,87,43,0.669,,,7.7,4.9,2.8,-0.2,2.5,90-40,-3.0,54-12,33-31,15-13,68-31,17-11,62-33,25-10,,
1895 NL,2,Cleveland Spiders,84,46,0.646,,,7.0,5.5,1.5,-0.2,1.3,79-51,5.0,49-13,35-33,22-9,65-42,14-4,54-40,30-6,,
1895 NL,3,Philadelphia Phillies,78,53,0.595,,,8.0,7.2,0.8,0.0,0.8,72-59,6.0,51-21,27-32,18-17,58-37,18-15,53-42,25-11,,
1895 NL,4,Chicago Colts,72,58,0.554,,,6.5,6.4,0.1,0.0,0.1,66-64,6.0,43-24,29-34,16-12,62-49,10-6,44-51,28-7,,
1895 NL,5,Brooklyn Grooms,71,60,0.542,,,6.6,6.3,0.3,0.0,0.3,68-63,3.0,43-22,28-38,16-10,60-58,8-2,46-49,25-11,,
1895 NL,6,Boston,71,60,0.542,,,6.8,6.2,0.6,-0.1,0.5,71-60,0.0,48-19,23-41,10-15,61-55,9-4,44-51,27-9,,
1895 NL,7,Pittsburgh Pirates,71,61,0.538,,,6.1,6.0,0.1,0.0,0.1,67-65,4.0,44-21,27-40,19-9,56-48,13-11,44-52,27-9,,
1895 NL,8,Cincinnati Reds,66,64,0.508,,,6.8,6.5,0.4,0.0,0.3,68-62,-2.0,42-22,24-42,17-16,54-56,10-6,43-53,23-11,,
1895 NL,9,New York Giants,66,65,0.504,,,6.5,6.3,0.1,0.0,0.2,67-64,-1.0,40-27,26-38,15-15,54-53,12-10,38-57,28-8,,
1895 NL,10,Washington Senators,43,85,0.336,,,6.3,7.9,-1.6,0.1,-1.4,51-77,-8.0,31-34,12-51,7-20,35-75,7-8,32-73,11-12,,
1895 NL,11,St. Louis Browns,39,92,0.298,,,5.5,7.6,-2.1,0.2,-1.9,47-84,-8.0,25-41,14-51,9-20,29-80,7-11,27-81,12-11,,
1895 NL,12,Louisville Colonels,35,96,0.267,,,5.3,8.3,-3.0,0.2,-2.7,40-91,-5.0,19-38,16-58,9-17,26-78,8-11,23-84,12-12,,
1885 AA_Season,1,St. Louis Browns,79,33,0.705,--,,6.0,4.1,1.9,-0.3,1.7,75-37,4.0,44-11,35-22,18-6,59-21,11-6,20-12,59-21,,
1885 AA_Season,2,Cincinnati,63,49,0.562,16.0,16.0,5.7,5.1,0.6,-0.1,0.5,62-50,1.0,35-21,28-28,20-13,48-39,8-7,15-17,48-32,,
1885 AA_Season,3,Allegheny City,56,55,0.505,22.5,29.0,4.9,4.9,0.1,0.0,0.1,56-55,0.0,37-20,19-35,16-15,40-45,4-2,13-19,43-36,,
1885 AA_Season,4,Philadelphia Athletics,55,57,0.491,24.0,33.5,6.8,6.1,0.6,-0.1,0.5,61-51,-6.0,33-23,22-34,10-15,34-41,8-4,21-27,34-30,,
1885 AA_Season,5,Brooklyn,53,59,0.473,26.0,41.5,5.6,5.8,-0.2,0.0,-0.2,54-58,-1.0,35-22,18-37,10-12,36-41,11-9,15-33,38-26,,
1885 AA_Season,6,Louisville Colonels,53,59,0.473,26.0,41.5,5.0,5.3,-0.3,0.0,-0.3,53-59,0.0,37-19,16-40,10-16,43-48,3-8,21-27,32-32,,
1885 AA_Season,7,New York Metropolitans,44,64,0.407,33.0,83.5,4.9,6.4,-1.5,0.2,-1.3,41-67,3.0,28-24,16-40,11-10,28-52,7-7,18-29,26-35,,
1885 AA_Season,8,Baltimore Orioles,41,68,0.376,36.5,108.0,4.9,6.2,-1.3,0.2,-1.1,43-66,-2.0,29-26,12-42,9-17,27-48,4-10,14-34,27-34,,
1925 NL,1,Pittsburgh Pirates,95,58,0.621,--,,6.0,4.7,1.3,-0.2,1.1,93-60,2.0,52-25,43-33,27-20,76-49,19-9,39-26,56-32,6-6,
1925 NL,2,New York Giants,86,66,0.566,8.5,8.5,4.8,4.6,0.2,0.0,0.2,79-73,7.0,47-29,39-37,28-16,60-47,26-19,35-30,51-36,6-5,
1925 NL,3,Cincinnati Reds,80,73,0.523,15.0,21.5,4.5,4.2,0.3,0.0,0.3,81-72,-1.0,44-32,36-41,19-26,64-57,16-16,29-36,51-37,9-7,
1925 NL,4,St. Louis Cardinals,77,76,0.503,18.0,30.5,5.4,5.0,0.4,-0.1,0.4,82-71,-5.0,48-28,29-48,15-19,57-58,20-18,27-38,50-38,5-5,
1925 NL,5,Boston Braves,70,83,0.458,25.0,58.5,4.6,5.2,-0.6,0.1,-0.5,68-85,2.0,37-39,33-44,20-24,44-57,26-26,39-49,31-34,7-9,
1925 NL,6,Brooklyn Robins,68,85,0.444,27.0,68.5,5.1,5.7,-0.5,0.1,-0.5,70-83,-2.0,40-37,28-48,20-20,39-44,29-41,38-50,30-35,5-5,
1925 NL,7,Philadelphia Phillies,68,85,0.444,27.0,68.5,5.3,6.1,-0.8,0.1,-0.7,67-86,1.0,38-39,30-46,16-19,55-58,13-27,29-58,39-27,5-8,
1925 NL,8,Chicago Cubs,68,86,0.442,27.5,72.0,4.7,5.0,-0.3,0.0,-0.3,72-82,-4.0,37-40,31-46,18-19,45-67,23-19,37-51,31-35,7-5,
1920 AL,1,Cleveland Indians,98,56,0.636,--,,5.6,4.2,1.4,-0.2,1.2,97-57,1.0,51-27,47-29,23-23,67-35,31-21,21-23,77-33,5-6,
1920 AL,2,Chicago White Sox,96,58,0.623,2.0,2.0,5.2,4.3,0.8,-0.1,0.7,89-65,7.0,52-25,44-33,26-16,63-43,33-15,20-24,76-34,14-5,
1920 AL,3,New York Yankees,95,59,0.617,3.0,4.0,5.4,4.1,1.4,-0.2,1.2,97-57,-2.0,49-28,46-31,23-18,71-49,24-10,25-19,70-40,7-2,
1920 AL,4,St. Louis Browns,76,77,0.497,21.5,59.5,5.2,5.0,0.2,0.0,0.2,79-74,-3.0,40-38,36-39,20-18,50-54,26-23,25-41,51-36,3-10,
1920 AL,5,Boston Red Sox,72,81,0.471,25.5,75.5,4.2,4.5,-0.3,0.0,-0.3,72-81,0.0,41-35,31-46,24-29,56-65,16-16,27-39,45-42,10-8,
1920 AL,6,Washington Nationals,68,84,0.447,29.0,93.0,4.7,5.2,-0.5,0.1,-0.4,69-83,-1.0,37-38,31-46,21-27,48-61,20-23,23-43,45-41,5-8,
1920 AL,7,Detroit Tigers,61,93,0.396,37.0,141.0,4.2,5.4,-1.2,0.1,-1.0,60-94,1.0,32-46,29-47,22-22,48-72,13-21,17-49,44-44,6-9,
1920 AL,8,Philadelphia Athletics,48,106,0.312,50.0,232.0,3.6,5.3,-1.8,0.2,-1.6,50-104,-2.0,25-50,23-56,16-22,31-81,17-25,15-51,33-55,4-6,
1930 AL,1,Philadelphia Athletics,102,52,0.662,--,,6.2,4.9,1.3,-0.2,1.1,93-61,9.0,58-18,44-34,25-14,86-44,16-8,37-29,65-23,6-1,
1930 AL,2,Washington Nationals,94,60,0.61,8.0,8.0,5.8,4.5,1.3,-0.2,1.2,95-59,-1.0,56-21,38-39,23-21,61-37,33-23,41-25,53-35,6-5,
1930 AL,3,New York Yankees,86,68,0.558,16.0,24.0,6.9,5.8,1.1,-0.1,0.9,89-65,-3.0,47-29,39-39,17-24,62-50,24-18,27-39,59-29,6-5,
1930 AL,4,Cleveland Indians,81,73,0.526,21.0,39.0,5.8,5.9,-0.2,0.0,-0.1,75-79,6.0,44-33,37-40,21-18,63-50,18-23,27-39,54-34,4-7,
1930 AL,5,Detroit Tigers,75,79,0.487,27.0,63.0,5.1,5.4,-0.3,0.0,-0.3,73-81,2.0,45-33,30-46,26-20,62-60,13-19,37-51,38-28,7-4,
1930 AL,6,St. Louis Browns,64,90,0.416,38.0,118.0,4.9,5.8,-0.9,0.1,-0.8,65-89,-1.0,38-40,26-50,24-23,51-72,13-18,30-58,34-32,8-11,
1930 AL,7,Chicago White Sox,62,92,0.403,40.0,130.0,4.7,5.7,-1.0,0.1,-0.9,64-90,-2.0,34-44,28-48,23-20,49-70,13-22,32-56,30-36,10-5,
